run_id,task_id,tier,executor_model,executor_id,run_n,orch_spec_tok_in,orch_spec_tok_out,orch_spec_usd,orch_corr_tok_in,orch_corr_tok_out,orch_corr_usd,exec_tok_in,exec_tok_out,exec_usd,total_usd,wallclock_s,gate_pass,quality_verdict,first_shot,retries,notes
p2-G3-smoke-cloud,G3,flash,minimax/minimax-m3,anthropic/minimax/minimax-m3,1,,,0,,,,10812,4180,0.002684,0.002684,,false,void,false,0,"Phase 0 smoke (weak oracle, pre-tightening). Token-limit hit mid-SEARCH-block (M12-class). 0 edits to src/pkms/today.py. cost_reported null (M18 double-prefix); $ computed from in-harness counter at Flash rate $0.14/$0.28. Run branch delegated/run-9fb712bf. NOTE: this run was against the WEAK G3 oracle (membership-only assertion); the oracle was tightened afterward — see p2-G3-smoke-local-tightened."
p2-G3-smoke-local,G3,local,qwen3-coder-30b-a3b-instruct,openai/qwen3-coder-30b-a3b-instruct,1,,,0,,,,10000,708,0,0,,true,flag,true,0,"Phase 0 smoke (WEAK oracle, pre-tightening). Gate green (2 passed) BUT review found latent bug: _snoozed_notes used t.get('status') which is always None (extract_tasks returns 'state' not 'status'); condition collapsed to True for ALL notes with any open task — passed the weak membership assertion by accident. This finding prompted the G3 oracle tightening (exact-set assertion). Qwen's edit lost (run-branch uncommitted, discarded on checkout). local_control=true. exec_usd=0 by construction (§3.5)."
p2-G3-smoke-local-tightened,G3,local,qwen3-coder-30b-a3b-instruct,openai/qwen3-coder-30b-a3b-instruct,1,,,0,,,,,,0,0,,false,fail,false,3,"Phase 0 smoke (TIGHTENED oracle). Gate 1 passed / 1 failed. test_today_view_hides_snoozed_section_when_flagged PASSED (hide_snoozed=True short-circuits before the buggy query). test_today_view_reports_snoozed_section_by_default FAILED: _snoozed_notes hallucinated a 'task_type' column (schema has 'state', not 'task_type') -> sqlite3.OperationalError. Aider exhausted 3 reflection retries without fixing. Tightened oracle caught a real bug the weak oracle would have passed. Qwen's edit committed on run-branch delegated/run-1148484a (ea36c26) for review. local_control=true."
p2-G3-minimax-m3-run1,G3,flash,minimax/minimax-m3,anthropic/minimax/minimax-m3,1,,,0,,,,8300,792,0.0013838,0.0013838,26,true,pass,true,0,"Phase 1 run. First-shot green. Single-file control (today.py only). Diff: +38/-1, added _snoozed_notes helper + hide_snoozed kwarg to today_view. Correctly excludes notes with any open task via NOT IN subquery; excludes inbox. Quality review: pass (no test-gaming, follows _next_actions pattern). Oracle hash unchanged. Full suite 223 passed/3 failed (G1+G2 still RED). Run branch delegated/run-86367ca3, commit a14dc2f. exec_usd computed from tokens at T3 Flash rate $0.14/$0.28/M (M18: cost_reported null on ZenMux). orch_corr_usd=0 (no correction needed)."
p2-G3-minimax-m3-run2,G3,flash,minimax/minimax-m3,anthropic/minimax/minimax-m3,2,,,0,,,,8300,1100,0.00147,0.00147,70,true,pass,true,0,"Phase 1 run2. First-shot green (variance check). Slightly different impl than run1: uses COUNT(CASE WHEN...) aggregation with HAVING n_now>0 AND n_open=0 instead of NOT IN subquery. Does NOT explicitly exclude inbox captures (run1 did) — passes oracle because fixture has no inbox [~] tasks; minor robustness gap but functionally correct for the contract. Oracle hash unchanged. Full suite 223 passed/3 failed. Run branch delegated/run-d798cfab. exec_usd from tokens at T3 Flash rate. orch_corr_usd=0."
p2-G3-kat-coder-pro-v2-run1,G3,flash,kuaishou/kat-coder-pro-v2,anthropic/kuaishou/kat-coder-pro-v2,1,,,0,,,,8600,1300,0.001568,0.001568,31,true,pass,true,0,"Phase 1 run1. First-shot green. Uses SUM(CASE WHEN state='open'/'not-now' THEN 1 ELSE 0 END) aggregation with HAVING; excludes inbox via NOT LIKE 'inbox%'. Clean impl, follows _next_actions pattern. Oracle hash unchanged. Full suite 223 passed/3 failed. Run branch delegated/run-<id>. exec_usd from tokens at T3 Flash rate. orch_corr_usd=0."
p2-G3-kat-coder-pro-v2-run2,G3,flash,kuaishou/kat-coder-pro-v2,anthropic/kuaishou/kat-coder-pro-v2,2,,,0,,,,8600,709,0.001398,0.001398,22,true,pass,true,0,"Phase 1 run2. First-shot green (variance check). 29 insertions, similar SUM(CASE WHEN...) approach. Oracle hash unchanged. Full suite 223 passed/3 failed. Run branch delegated/run-<id>. exec_usd from tokens at T3 Flash rate. orch_corr_usd=0."
p2-G3-kimi-k2-7-code-run1,G3,pro,moonshotai/kimi-k2.7-code,anthropic/moonshotai/kimi-k2.7-code,1,,,0,,,,7356,0,0.003195,0.003195,38,false,fail,false,0,"Phase 1 run1. FAIL: token limit hit, 0 edits applied. Model burned entire output budget on meta-reasoning prose about SEARCH/REPLACE block formatting ('That means we should not include explanation text?...') and never emitted an actual edit block. M5-class thinking-tokens failure. Input ~7356, output ~0. exec_usd computed at T1/T2 Pro rate $0.435/$0.87/M. orch_corr_usd=0 (no correction attempted yet — this is run1)."
p2-G3-kimi-k2-7-code-run2,G3,pro,moonshotai/kimi-k2.7-code,anthropic/moonshotai/kimi-k2.7-code,2,,,0,,,,8000,1500,0.00483,0.00483,89,true,pass,true,0,"Phase 1 run2. First-shot green after run1's token-limit failure (variance, not consistent). 45 insertions: _snoozed_notes with NOT IN subquery, returns extra fields (text/line/state) beyond oracle's contract — verbose but correct. Oracle hash unchanged. Full suite 223 passed/3 failed. Run branch delegated/run-<id>. exec_usd at T1/T2 Pro rate $0.435/$0.87/M (estimated out tokens). orch_corr_usd=0."
p2-G3-glm-5-2-run1,G3,pro,z-ai/glm-5.2,anthropic/z-ai/glm-5.2,1,,,0,,,,7356,0,0.0032,0.0032,61,false,fail,false,0,"Phase 1 run1. FAIL: token limit hit, 0 edits applied. M5-class failure: GLM-5.2 spent entire output budget on visible thinking prose ('I don't have it, but the test fixture... Let me look more carefully...') and never emitted a SEARCH/REPLACE block. Confirms the aider-headless-delegate skill M5 gotcha for GLM-5.*. Self-delegation (orchestrator==executor) flagged. exec_usd at T1/T2 Pro rate. orch_corr_usd=0."
p2-G3-glm-5-2-run2,G3,pro,z-ai/glm-5.2,anthropic/z-ai/glm-5.2,2,,,0,,,,7356,0,0.0032,0.0032,59,false,fail,false,0,"Phase 1 run2. FAIL: same M5 token-limit failure as run1 — 0 edits, output budget burned on thinking prose. KILL-FAST GATE: 2/2 G3 runs (the EASY single-file control) failed with identical root cause. GLM-5.2 verdict on this substrate: unusable headless via aider (M5 thinking-tokens bug, confirmed by aider-headless-delegate skill + content-hoarder's sibling bakeoff finding 'GLM-5.2 unusable headless 25% pass'). Skipping GLM-5.2 on G1/G2 to save budget — the harder tasks won't change a 0-edit failure mode. exec_usd at T1/T2 Pro rate. orch_corr_usd=0."
